Customer_ID,Gender,Age,Married,Number_of_Dependents,City,Zip_Code,Latitude,Longitude,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
0002-ORFBO,Female,37,1,0,Frazier Park,93225,34.82766342163086,-118.99906921386719,2,9,None,1,42.38999938964844,0,1,Cable,16,0,1,0,1,1,0,0,1,One Year,1,Credit Card,65.5999984741211,593.2999877929688,0,0,381.510009765625,974.8099975585938,Stayed,NULL,NULL
0003-MKNFE,Male,46,0,0,Glendale,91206,34.162513732910156,-118.20387268066406,0,9,None,1,10.6899995803833,1,1,Cable,10,0,0,0,0,0,1,1,0,Month-to-Month,0,Credit Card,-4,542.4000244140625,38.33000183105469,10,96.20999908447266,610.280029296875,Stayed,NULL,NULL
0004-TLHLJ,Male,50,0,0,Costa Mesa,92627,33.64567184448242,-117.92261505126953,0,4,Offer E,1,33.650001525878906,0,1,Fiber Optic,30,0,0,1,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,73.9000015258789,280.8500061035156,0,0,134.60000610351562,415.45001220703125,Churned,Competitor,Competitor had better devices
0011-IGKFF,Male,78,1,0,Martinez,94553,38.01445770263672,-122.11543273925781,1,13,Offer D,1,27.81999969482422,0,1,Fiber Optic,4,0,1,1,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,98,1237.8499755859375,0,0,361.6600036621094,1599.510009765625,Churned,Dissatisfaction,Product dissatisfaction
0013-EXCHZ,Female,75,1,0,Camarillo,93010,34.22784423828125,-119.07990264892578,3,3,None,1,7.380000114440918,0,1,Fiber Optic,11,0,0,0,1,1,0,0,1,Month-to-Month,1,Credit Card,83.9000015258789,267.3999938964844,0,0,22.139999389648438,289.5400085449219,Churned,Dissatisfaction,Network reliability
0013-MHZWF,Female,23,0,3,Midpines,95345,37.58149719238281,-119.97276306152344,0,9,Offer E,1,16.770000457763672,0,1,Cable,73,0,0,0,1,1,1,1,1,Month-to-Month,1,Credit Card,69.4000015258789,571.4500122070312,0,0,150.92999267578125,722.3800048828125,Stayed,NULL,NULL
0013-SMEOE,Female,67,1,0,Lompoc,93437,34.757476806640625,-120.55050659179688,1,71,Offer A,1,9.960000038146973,0,1,Fiber Optic,14,1,1,1,1,1,1,1,1,Two Year,1,Bank Withdrawal,109.69999694824219,7904.25,0,0,707.1599731445312,8611.41015625,Stayed,NULL,NULL
0014-BMAQU,Male,52,1,0,Napa,94558,38.48978805541992,-122.27011108398438,8,63,Offer B,1,12.960000038146973,1,1,Fiber Optic,7,1,0,0,1,0,0,0,0,Two Year,1,Credit Card,84.6500015258789,5377.7998046875,0,20,816.47998046875,6214.27978515625,Stayed,NULL,NULL
0015-UOCOJ,Female,68,0,0,Simi Valley,93063,34.29681396484375,-118.68569946289062,0,7,Offer E,1,10.529999732971191,0,1,DSL,21,1,0,0,0,0,0,0,1,Two Year,1,Bank Withdrawal,48.20000076293945,340.3500061035156,0,0,73.70999908447266,414.05999755859375,Stayed,NULL,NULL
0016-QLJIS,Female,43,1,1,Sheridan,95681,38.98475646972656,-121.34507751464844,3,65,None,1,28.459999084472656,1,1,Cable,14,1,1,1,1,1,1,1,1,Two Year,1,Credit Card,90.44999694824219,5957.89990234375,0,0,1849.9000244140625,7807.7998046875,Stayed,NULL,NULL
0017-DINOC,Male,47,0,0,Rancho Santa Fe,92091,32.993560791015625,-117.20712280273438,0,54,None,0,NULL,NULL,1,Cable,10,1,0,0,1,1,0,0,1,Two Year,0,Credit Card,45.20000076293945,2460.550048828125,0,0,0,2460.550048828125,Stayed,NULL,NULL
0017-IUDMW,Female,25,1,2,Sunnyvale,94086,37.3785400390625,-122.02045440673828,2,72,None,1,16.010000228881836,1,1,Fiber Optic,59,1,1,1,1,1,1,1,1,Two Year,1,Credit Card,116.80000305175781,8456.75,0,0,1152.719970703125,9609.4697265625,Stayed,NULL,NULL
0018-NYROU,Female,58,1,0,Antelope,95843,38.71549987792969,-121.36341094970703,0,5,None,1,18.649999618530273,0,1,Fiber Optic,10,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,68.94999694824219,351.5,0,0,93.25,444.75,Stayed,NULL,NULL
